ID,EDUCATION,MARITAL_STATUS,AGE,TOTAL_CHILDREN,INCOME,TOTAL_SPENDING,COUNTRY,DATE_ENROLLED,RECENCY,AMOUNT_WINES,AMOUNT_FRUITS,AMOUNT_MEAT,AMOUNT_FISH,AMOUNT_SWEET,AMOUNT_GOLD,DISC_PURCHASE,WEB_PURCHASE,CATALOG_PURCHASE,STORE_PURCHASE,WEBVISIT,CMP1,CMP2,CMP3,CMP4,CMP5,RESPONSE,COMPLAIN
9264,Bachelor's Degree,Married,38,0,79529.0,1638,Canada,2014-04-27,1,423,42,706,73,197,197,1,4,8,9,2,0,0,0,0,0,0,0
5824,Doctorate Degree,Together,52,3,34578.0,8,Australia,2014-04-11,1,7,0,1,0,0,0,1,1,0,2,6,0,0,0,0,0,0,0
5794,Doctorate Degree,Married,50,1,46374.0,446,India,2014-03-17,1,408,0,21,0,0,17,3,7,1,7,8,1,0,0,1,0,1,0
3068,Bachelor's Degree,Married,34,0,18351.0,43,Spain,2013-10-29,1,1,12,9,0,14,7,1,2,0,3,7,0,0,0,0,0,0,0
7962,Doctorate Degree,Single,37,0,95169.0,1901,Spain,2013-10-09,1,1285,21,449,106,20,20,1,4,3,4,1,1,0,0,0,1,1,0
2681,Master's Degree,Married,40,0,65370.0,461,Spain,2013-08-01,1,71,22,112,138,89,29,1,2,3,13,1,0,0,0,0,0,0,0
10141,Master's Degree,Divorced,64,0,39228.0,20,South Africa,2013-05-10,1,7,1,6,0,3,3,1,0,0,3,4,0,0,0,0,0,0,0
3725,Doctorate Degree,Single,63,0,84865.0,1688,Spain,2013-05-09,1,1248,16,349,43,16,16,1,2,4,9,4,1,1,0,1,1,1,0
3767,Bachelor's Degree,Married,56,1,61314.0,1008,Spain,2013-04-25,1,378,0,189,97,172,172,2,5,5,12,3,0,0,0,0,0,0,0
5585,Bachelor's Degree,Single,52,1,21359.0,48,Canada,2013-04-20,1,12,2,17,6,1,10,2,2,0,3,8,0,0,0,0,0,1,0
7030,Doctorate Degree,Married,69,1,66465.0,1485,Spain,2013-03-30,1,1200,0,204,38,29,14,3,11,9,12,6,1,0,0,0,0,0,0
1524,Master's Degree,Single,41,0,81698.0,1104,Spain,2013-03-01,1,709,45,115,30,160,45,1,8,2,5,5,1,0,0,0,0,1,0
3657,Bachelor's Degree,Single,38,1,39146.0,165,Spain,2013-02-14,1,94,1,33,13,12,12,3,4,0,4,8,0,0,0,0,0,0,0
5740,Master's Degree,Divorced,54,2,25959.0,56,Spain,2013-02-14,1,4,2,12,7,5,26,2,1,2,2,6,0,0,0,0,0,1,0
9595,Bachelor's Degree,Together,63,0,64260.0,1574,Spain,2013-01-11,1,539,169,816,20,0,30,1,4,5,4,3,0,0,0,0,0,1,0
3158,Bachelor's Degree,Married,51,1,32300.0,39,Spain,2013-01-03,1,13,3,6,6,5,6,1,1,0,3,8,0,0,0,0,0,0,0
5114,Master's Degree,Married,59,1,74806.0,965,Australia,2012-12-19,1,670,9,249,0,28,9,2,5,4,5,4,0,0,0,0,0,0,0
340,Bachelor's Degree,Divorced,54,1,72967.0,497,Germany,2012-12-15,1,158,35,179,0,0,125,2,7,2,8,5,0,0,1,0,0,1,0
8805,Bachelor's Degree,Single,64,1,48904.0,371,United States,2012-12-02,1,283,10,38,0,13,27,4,7,2,4,8,0,0,0,0,0,0,0
1241,Master's Degree,Married,40,1,14796.0,51,Germany,2012-09-17,1,13,3,8,7,4,16,2,1,0,3,9,0,0,0,0,0,1,0
1402,Master's Degree,Married,70,0,66991.0,1253,Germany,2012-09-11,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0
7264,Master's Degree,Single,46,3,52195.0,17,South Africa,2014-05-12,2,12,0,4,0,0,1,1,1,0,2,8,0,0,0,0,0,0,0
1619,Bachelor's Degree,Married,68,0,90369.0,1588,Spain,2014-04-28,2,292,51,981,224,23,17,1,4,6,6,1,0,0,0,0,0,1,0
6398,Basic Education,Married,50,1,18393.0,50,Spain,2014-03-29,2,7,10,13,16,0,4,2,3,0,3,8,0,0,0,0,0,0,0
1857,Bachelor's Degree,Single,72,2,47139.0,83,Spain,2014-03-06,2,46,0,12,0,2,23,2,2,1,2,7,0,0,0,0,0,1,0
4877,Master's Degree,Married,51,1,38576.0,41,India,2014-03-04,2,34,0,7,0,0,0,1,1,0,3,7,0,0,0,0,0,0,0
3066,Doctorate Degree,Together,49,1,61905.0,231,South Africa,2014-02-04,2,167,0,43,6,2,13,2,4,2,4,5,0,0,0,0,0,0,0
10286,Bachelor's Degree,Married,62,0,83715.0,926,South Africa,2014-02-03,2,318,8,407,150,35,8,1,2,8,13,0,0,0,0,0,0,0,0
1992,Bachelor's Degree,Married,60,1,60597.0,893,Spain,2014-01-01,2,522,0,257,32,16,66,4,2,2,8,7,1,0,0,0,0,1,0
4246,Master's Degree,Single,42,0,6560.0,373,Spain,2013-12-12,2,67,11,26,4,3,262,0,1,0,1,17,0,0,0,0,0,0,0
10623,Master's Degree,Together,63,1,48330.0,32,Spain,2013-11-15,2,28,0,4,0,0,0,1,1,0,3,5,0,0,0,0,0,0,0
4867,Doctorate Degree,Single,56,2,38236.0,88,Spain,2013-09-20,2,58,0,18,2,0,10,4,3,0,4,7,0,0,0,0,0,0,0
3112,Master's Degree,Married,47,1,22701.0,24,Spain,2013-09-05,2,2,4,9,0,4,5,1,1,0,3,5,0,0,0,0,0,0,0
4865,Master's Degree,Divorced,50,2,53367.0,400,Australia,2013-08-31,2,229,7,140,10,3,11,7,5,1,8,7,0,0,0,0,0,1,0
6287,Bachelor's Degree,Together,38,1,34728.0,36,Spain,2013-07-30,2,14,0,16,0,0,6,1,1,1,2,6,0,0,0,0,0,1,0
4405,Master's Degree,Married,68,2,63915.0,789,Australia,2013-07-30,2,622,7,115,30,0,15,2,6,3,12,5,0,0,0,0,0,0,0
5332,Master's Degree,Married,64,0,82504.0,1066,India,2013-07-27,2,362,50,431,134,35,54,1,3,6,7,1,0,0,0,0,0,0,0
1519,Doctorate Degree,Single,52,2,38578.0,73,Spain,2013-06-22,2,38,4,22,3,3,3,3,3,0,3,8,0,0,0,0,0,1,0
9080,Doctorate Degree,Single,52,2,38578.0,73,Spain,2013-06-22,2,38,4,22,3,3,3,3,3,0,3,8,0,0,0,0,0,0,0
1772,Doctorate Degree,Married,49,0,79174.0,2043,Canada,2013-01-11,2,1074,37,518,193,92,129,1,5,6,7,2,1,0,0,0,1,1,0
5341,Master's Degree,Divorced,62,1,81975.0,1588,South Africa,2013-01-05,2,983,76,184,180,138,27,1,6,3,4,7,0,0,0,0,1,0,0
5510,Master's Degree,Married,47,1,43263.0,441,Spain,2012-11-21,2,262,6,61,0,10,102,3,5,2,6,5,0,0,0,0,0,0,0
3887,Bachelor's Degree,Single,54,1,27242.0,106,India,2012-11-11,2,3,17,26,20,1,39,2,2,0,3,9,0,0,0,0,0,1,0
7022,Bachelor's Degree,Married,53,1,76445.0,1410,South Africa,2012-09-28,2,739,107,309,140,80,35,1,2,5,13,6,0,0,0,0,0,0,0
9999,Bachelor's Degree,Together,59,0,75276.0,1040,Spain,2012-09-27,2,610,105,125,137,42,21,1,9,4,9,5,0,0,0,0,0,0,0
10352,Bachelor's Degree,Widowed,61,2,34213.0,117,South Africa,2012-09-07,2,50,4,28,6,3,26,3,3,1,2,9,0,0,0,0,0,1,0
7919,Doctorate Degree,Together,48,0,72335.0,2092,Spain,2012-08-13,2,1285,105,653,28,21,0,1,10,4,8,8,0,0,0,0,0,1,0
4114,Master's Degree,Married,60,0,79143.0,1693,Australia,2012-08-11,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0
7990,Bachelor's Degree,Married,77,0,27469.0,17,Canada,2012-08-02,2,9,1,2,3,2,0,1,0,0,3,6,0,0,0,0,0,0,0
9888,Bachelor's Degree,Together,55,0,68695.0,1091,Spain,2014-06-25,3,458,81,356,106,50,40,1,4,4,7,2,0,0,0,0,0,0,0
4399,Bachelor's Degree,Together,55,0,68695.0,1091,Canada,2014-06-25,3,458,81,356,106,50,40,1,4,4,7,2,0,0,0,0,0,0,0
4452,Bachelor's Degree,Single,67,1,50388.0,372,Germany,2014-05-28,3,292,6,37,0,3,34,4,6,1,6,7,1,0,0,1,0,1,0
4785,Doctorate Degree,Together,54,2,77622.0,714,South Africa,2014-04-14,3,520,7,154,19,0,14,2,6,3,11,3,0,0,0,0,0,0,0
8461,Bachelor's Degree,Divorced,62,3,46102.0,16,Spain,2014-03-10,3,14,0,1,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0
3878,Master's Degree,Single,44,1,31859.0,48,Spain,2014-02-27,3,3,4,7,15,8,11,1,1,0,3,7,0,0,0,0,0,0,0
9612,Master's Degree,Single,37,0,23830.0,43,Spain,2014-02-07,3,1,8,6,4,8,16,1,1,0,3,7,0,0,0,0,0,0,0
4098,Bachelor's Degree,Married,51,2,24639.0,44,Australia,2014-01-28,3,20,3,16,0,4,1,3,2,0,4,6,0,0,0,0,0,0,0
158,Doctorate Degree,Together,79,0,71604.0,1196,Spain,2013-11-17,3,345,53,528,98,75,97,1,8,3,5,4,0,0,1,0,0,1,0
3896,Bachelor's Degree,Married,40,1,27255.0,37,Spain,2013-11-07,3,22,1,11,0,1,2,1,1,0,3,7,0,0,0,0,0,0,0
9970,Bachelor's Degree,Together,47,1,55375.0,162,Canada,2013-10-17,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,0
4002,Doctorate Degree,Married,64,1,77037.0,1123,Spain,2013-10-13,3,463,96,333,168,53,10,1,7,7,12,3,0,0,0,0,0,0,0
10914,Bachelor's Degree,Single,54,2,24163.0,17,Spain,2013-10-12,3,4,1,7,2,1,2,2,1,0,3,4,0,0,0,0,0,0,0
7279,Doctorate Degree,Together,55,0,69476.0,1044,United States,2013-09-30,3,260,86,559,63,9,67,1,4,6,4,2,0,0,0,0,0,0,0
10582,Bachelor's Degree,Married,45,1,72063.0,758,Germany,2013-07-03,3,180,32,348,76,32,90,2,5,2,12,2,0,0,0,0,0,0,0
4470,Master's Degree,Married,62,1,58646.0,140,Spain,2013-06-10,3,62,1,44,6,5,22,1,2,1,4,4,0,0,0,0,0,0,0
6183,Master's Degree,Married,62,1,58646.0,140,Germany,2013-06-10,3,62,1,44,6,5,22,1,2,1,4,4,0,0,0,0,0,0,0
6379,Master's Degree,Widowed,75,2,47570.0,121,United States,2013-05-29,3,67,1,20,0,2,31,3,2,2,2,7,0,0,0,0,0,1,0
8601,Bachelor's Degree,Married,44,1,80011.0,1395,Australia,2013-04-29,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0
4827,Doctorate Degree,Single,68,1,54998.0,455,Spain,2013-03-10,3,154,22,202,39,30,8,5,4,2,9,4,0,0,0,0,0,1,0
6715,Doctorate Degree,Single,76,1,60200.0,685,Spain,2013-01-02,3,502,19,132,0,6,26,6,6,2,11,6,0,0,0,0,0,0,0
10676,Bachelor's Degree,Married,42,0,63211.0,1173,Spain,2012-11-02,3,145,193,459,205,26,145,2,3,8,7,2,0,0,0,0,0,1,0
1041,Doctorate Degree,Single,51,1,48432.0,424,South Africa,2012-10-18,3,322,3,50,4,3,42,5,7,1,6,8,0,0,0,0,0,1,0
492,Doctorate Degree,Single,51,1,48432.0,424,Canada,2012-10-18,3,322,3,50,4,3,42,5,7,1,6,8,0,0,0,0,0,0,0
11133,Doctorate Degree,Single,51,1,48432.0,424,India,2012-10-18,3,322,3,50,4,3,42,5,7,1,6,8,0,0,0,0,0,1,0
4491,Master's Degree,Married,75,2,62845.0,1178,Spain,2012-10-01,3,1099,0,45,0,0,34,11,3,4,10,8,0,0,0,1,0,0,0
873,Master's Degree,Married,75,2,62845.0,1178,Spain,2012-10-01,3,1099,0,45,0,0,34,11,3,4,10,8,0,0,0,1,0,1,0
1631,Doctorate Degree,Together,59,0,65220.0,1282,Germany,2012-09-03,3,890,63,292,0,25,12,4,8,4,7,6,0,0,0,0,0,1,0
8278,Doctorate Degree,Married,34,0,74214.0,1711,Spain,2012-08-26,3,863,83,547,86,99,33,1,8,2,5,5,0,0,0,0,0,0,0
6815,Master's Degree,Married,44,0,96547.0,809,Spain,2014-05-23,4,448,21,125,52,101,62,0,7,6,8,2,1,0,1,0,1,1,0
254,Bachelor's Degree,Together,69,1,53863.0,473,Spain,2014-05-17,4,399,4,30,6,4,30,3,7,1,7,7,0,0,0,1,0,0,0
1349,Bachelor's Degree,Married,54,2,50447.0,148,India,2014-04-21,4,85,7,24,2,3,27,1,3,1,3,6,0,0,0,0,0,0,0
2534,Bachelor's Degree,Married,71,1,37716.0,188,Australia,2014-04-21,4,97,1,41,6,2,41,2,4,1,3,7,0,0,0,0,0,0,0
2130,Bachelor's Degree,Together,42,2,45203.0,147,South Africa,2014-03-23,4,35,3,67,10,8,24,1,3,1,3,6,0,0,0,0,0,1,0
2296,Master's Degree,Married,49,1,37368.0,30,Spain,2013-12-16,4,3,2,11,2,2,10,1,1,0,2,6,0,0,1,0,0,0,0
3799,Bachelor's Degree,Married,69,1,67225.0,868,United States,2013-11-26,4,315,35,322,46,7,143,3,7,2,11,5,0,0,0,0,0,0,0
11084,Master's Degree,Together,48,1,65104.0,1053,Canada,2013-11-14,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,1,0
5172,Master's Degree,Together,48,1,65104.0,1053,Spain,2013-11-14,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,0
9504,Master's Degree,Married,75,0,81698.0,1008,Spain,2013-11-06,4,179,28,520,111,123,47,1,3,8,13,1,0,0,0,0,0,1,0
850,Bachelor's Degree,Single,56,1,70566.0,757,Spain,2013-10-06,4,381,28,215,84,28,21,2,6,5,9,3,0,0,0,0,0,0,0
4477,Bachelor's Degree,Together,66,1,69096.0,653,Germany,2013-09-27,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0
1945,Bachelor's Degree,Married,62,1,71434.0,1400,Spain,2013-09-18,4,711,36,217,172,96,168,3,7,4,7,4,1,0,0,1,0,0,0
7685,Bachelor's Degree,Married,46,1,33039.0,78,Spain,2013-09-09,4,30,8,12,8,8,12,1,2,0,4,5,0,0,0,0,0,0,0
6310,Bachelor's Degree,Married,46,1,33039.0,78,Canada,2013-09-09,4,30,8,12,8,8,12,1,2,0,4,5,0,0,0,0,0,0,0
10832,Bachelor's Degree,Together,66,0,46610.0,467,Spain,2013-07-18,4,288,10,30,4,10,125,1,6,1,6,6,0,0,0,0,0,0,0
3025,Bachelor's Degree,Single,66,1,49967.0,306,Canada,2013-07-08,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,0
2404,Bachelor's Degree,Married,48,2,53359.0,257,United States,2013-05-27,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0
8581,Master's Degree,Married,53,2,49505.0,751,Spain,2013-03-05,4,604,0,100,19,0,28,9,10,2,8,8,0,0,0,0,0,0,0
8755,Master's Degree,Married,78,0,68657.0,1196,Australia,2013-02-20,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0
10177,Bachelor's Degree,Divorced,70,1,72071.0,1338,Spain,2013-02-14,4,531,69,300,150,138,150,3,5,4,8,2,0,0,0,0,0,0,0
2429,Bachelor's Degree,Divorced,70,1,72071.0,1338,Canada,2013-02-14,4,531,69,300,150,138,150,3,5,4,8,2,0,0,0,0,0,0,0
8920,Master's Degree,Single,57,1,59235.0,1128,India,2013-01-12,4,448,40,469,80,0,91,3,11,2,12,7,0,0,0,0,0,0,0
8430,Bachelor's Degree,Together,67,1,21994.0,22,Australia,2012-12-24,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0
8619,Bachelor's Degree,Together,67,1,21994.0,22,Spain,2012-12-24,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0
7233,Bachelor's Degree,Married,52,0,69209.0,1782,Canada,2012-09-17,4,496,32,849,229,48,128,2,5,3,6,4,1,0,0,0,0,0,0
6678,Bachelor's Degree,Together,35,1,31928.0,72,India,2014-03-28,5,33,4,24,4,2,5,2,3,0,4,7,0,0,0,0,0,0,0
830,Doctorate Degree,Single,37,0,74004.0,1658,India,2014-02-24,5,784,48,560,42,176,48,1,4,6,4,3,1,0,0,0,1,1,0
6365,Master's Degree,Married,37,0,30390.0,80,India,2013-09-02,5,10,12,12,25,1,20,1,2,0,3,6,0,0,0,0,0,0,0
6770,Bachelor's Degree,Married,39,1,21355.0,68,United States,2013-08-20,5,5,13,14,0,5,31,2,2,1,2,6,0,0,1,0,0,1,0
2261,Bachelor's Degree,Married,55,1,26304.0,16,Germany,2013-06-23,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0
1031,Master's Degree,Married,35,0,85710.0,1062,India,2013-05-05,5,600,20,350,29,30,33,1,6,9,10,2,0,0,0,0,1,0,0
10089,Bachelor's Degree,Divorced,50,0,102692.0,1112,South Africa,2013-04-05,5,168,148,444,32,172,148,1,6,9,13,2,1,1,0,1,1,1,0
9256,Bachelor's Degree,Single,53,1,58350.0,1001,Spain,2013-01-04,5,493,26,206,116,80,80,4,8,3,12,6,0,0,0,0,0,0,0
10641,Bachelor's Degree,Single,46,2,7500.0,57,Spain,2012-12-27,5,6,5,4,13,4,25,4,2,1,3,6,0,0,0,0,0,0,0
624,Master's Degree,Single,40,0,18890.0,35,South Africa,2012-11-10,5,6,4,1,7,2,15,1,0,1,2,6,0,0,1,0,0,1,0
4211,Basic Education,Married,38,1,20425.0,57,Canada,2012-10-29,5,4,12,5,3,16,17,2,2,0,3,7,0,0,0,0,0,0,0
1407,Basic Education,Married,38,1,20425.0,57,Germany,2012-10-29,5,4,12,5,3,16,17,2,2,0,3,7,0,0,0,0,0,0,0
10356,Doctorate Degree,Divorced,67,2,41437.0,32,Spain,2012-09-22,5,29,0,2,0,0,1,1,1,0,3,7,0,0,0,0,0,0,0
9323,Master's Degree,Together,75,1,49912.0,874,Mexico,2012-09-07,5,520,8,223,32,49,42,4,10,5,7,8,0,0,1,0,0,1,0
1146,Master's Degree,Together,75,1,49912.0,874,Australia,2012-09-07,5,520,8,223,32,49,42,4,10,5,7,8,0,0,1,0,0,1,0
6343,Bachelor's Degree,Married,65,1,79823.0,1518,Australia,2014-03-31,6,835,73,380,114,73,43,1,6,9,7,2,0,0,0,1,0,0,0
8545,Bachelor's Degree,Divorced,70,0,85683.0,1789,Spain,2014-03-21,6,1296,17,311,45,69,51,1,2,4,10,1,1,1,0,1,1,1,0
8275,Doctorate Degree,Divorced,59,2,47025.0,20,Spain,2014-02-09,6,16,0,3,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0
10673,Doctorate Degree,Married,48,1,68397.0,1416,South Africa,2013-11-17,6,760,80,466,17,13,80,1,6,9,5,3,0,0,0,0,0,0,0
8799,Doctorate Degree,Married,40,1,38175.0,153,Spain,2013-09-23,6,70,6,69,2,3,3,3,3,1,4,7,0,0,0,0,0,0,0
67,Master's Degree,Single,52,2,46423.0,92,Spain,2013-09-18,6,68,0,16,0,0,8,3,2,0,4,7,0,0,0,0,0,0,0
9923,Master's Degree,Single,52,2,46423.0,92,Spain,2013-09-18,6,68,0,16,0,0,8,3,2,0,4,7,0,0,0,0,0,0,0
2814,Master's Degree,Together,48,1,30560.0,31,South Africa,2013-06-27,6,9,1,5,4,5,7,1,1,0,3,7,0,0,0,0,0,0,0
2711,Master's Degree,Together,48,1,30560.0,31,Canada,2013-06-27,6,9,1,5,4,5,7,1,1,0,3,7,0,0,0,0,0,0,0
4320,Bachelor's Degree,Single,45,1,60152.0,943,Spain,2013-03-28,6,325,83,300,86,58,91,1,6,4,12,3,0,0,0,0,0,0,0
10451,Bachelor's Degree,Together,59,2,29672.0,25,South Africa,2013-03-12,6,9,1,3,0,4,8,1,0,0,3,6,0,0,0,0,0,0,0
4198,Bachelor's Degree,Together,59,2,29672.0,25,Spain,2013-03-12,6,9,1,3,0,4,8,1,0,0,3,6,0,0,0,0,0,0,0
10814,Bachelor's Degree,Together,77,0,70321.0,1376,Spain,2013-01-16,6,303,23,751,82,26,191,1,6,5,13,4,0,0,0,0,0,1,0
944,Bachelor's Degree,Married,62,1,56181.0,393,Spain,2013-01-08,6,121,103,69,8,44,48,1,4,2,7,4,0,0,0,0,0,0,0
8151,Basic Education,Married,34,0,24279.0,263,Spain,2012-12-29,6,16,36,21,20,62,108,1,4,1,3,8,0,0,0,0,0,0,0
6184,Doctorate Degree,Married,55,0,68462.0,1670,Spain,2012-12-12,6,561,64,785,84,128,48,1,3,3,8,1,0,0,0,0,0,0,0
3498,Doctorate Degree,Married,48,1,55424.0,877,Spain,2012-11-25,6,462,61,184,10,53,107,4,7,5,9,6,0,0,1,0,0,1,0
2870,Bachelor's Degree,Married,51,1,49094.0,502,Spain,2012-09-21,6,376,0,38,11,8,69,5,6,3,6,6,0,0,0,0,0,0,0
7342,Master's Degree,Widowed,63,1,59184.0,1072,Spain,2012-09-09,6,341,142,113,259,151,66,3,6,6,12,5,0,0,0,0,0,0,0
1911,Bachelor's Degree,Together,37,0,67430.0,1364,Germany,2012-09-05,6,595,97,291,127,133,121,1,11,5,12,6,0,0,0,0,0,0,0
10862,Master's Degree,Married,64,1,30522.0,326,Spain,2012-08-17,6,179,8,83,19,11,26,5,1,2,9,2,0,0,0,0,0,0,0
2546,Master's Degree,Single,47,1,31878.0,70,Spain,2014-06-22,7,23,4,5,10,5,23,1,1,0,4,3,0,0,0,0,0,0,0
3005,Bachelor's Degree,Single,32,0,83528.0,1650,Spain,2014-05-01,7,530,117,678,134,44,147,1,4,10,8,1,1,0,1,0,0,1,0
8318,Bachelor's Degree,Together,45,0,90300.0,1738,Spain,2014-01-03,7,594,134,786,33,134,57,0,5,6,8,1,0,0,0,0,1,0,0
2930,Master's Degree,Single,46,0,68092.0,1281,South Africa,2013-12-16,7,852,60,207,78,36,48,2,2,6,10,5,0,0,0,0,0,0,0
8216,Master's Degree,Married,52,2,53761.0,325,Australia,2013-10-11,7,158,0,76,13,7,71,6,4,4,3,5,0,0,0,0,0,0,0
1212,Bachelor's Degree,Married,51,1,52845.0,936,Spain,2013-08-13,7,384,25,292,130,41,64,3,8,8,6,6,0,0,1,0,0,0,0
2541,Bachelor's Degree,Married,48,1,24027.0,48,Spain,2013-06-09,7,14,7,11,11,0,5,2,2,0,3,8,0,0,0,0,0,0,0
10659,Master's Degree,Together,45,1,7500.0,53,India,2013-05-07,7,2,8,11,3,8,21,4,3,2,2,7,0,0,0,0,0,0,0
